step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,3.741299506276846,9.331559636418156e-05,2.3170424527275523e-05,0.0002157879504096,4.320224639054181e-05,0.0002821606213274
1,18.1120350160636,0.000487766629245,0.00010845237557553463,0.0011622062075388,0.00020421314822474394,0.0014748717313392001
2,11.141205188352615,0.00031079179897756823,6.611984203922765e-05,0.0007358286442098,0.00013780017870918126,0.0009397486649582
3,18.15000145183876,0.000501531951382,0.00010098188643607042,0.0012100273569046,0.00020548502483351994,0.0015164942681742
4,20.459425339009613,0.00043106155841368123,0.0001131123963249849,0.0009790763388152,0.00021122250468848984,0.0013034112398288
5,21.5334812249057,0.00047228696614089996,0.00012005145548541559,0.001085691979668,0.00022232206518522842,0.0014280655003387
6,20.53152083279565,0.0003835211541569,0.00011454390028414269,0.000832931499687,0.00021218677190028675,0.0011596621718714
7,22.108104600571096,0.00048449940853800003,0.00012401379371570302,0.0010981603229679,0.00024281844053443267,0.0014649925572181
8,22.0702763563022,0.00046975858530489995,0.00012927395056312431,0.0010491133392988,0.00024203308430859966,0.0014204203741705
9,22.137503853067756,0.00046540458968440004,0.00013191289902430293,0.0010317077698118,0.0002436344236730367,0.0014072550925092
10,22.96358611388132,0.0006695237518486,0.00012725481841616322,0.0016478990960919,0.0002493012159919825,0.0020244551305001
11,20.104713121894747,0.00037086189528430004,0.00011214035820407753,0.000785647017409,0.00022359668961587778,0.0011213840652289
12,21.741340348497033,0.0005944043988972,0.00012061910744469425,0.0014412378196623,0.00023545800252273248,0.0017973149296298
13,23.50291380798444,0.0005447082706915,0.0002923518128233437,0.0010945839312269,0.00026011180307887905,0.0016470475471294
14,22.85453045135364,0.0005640141762956,0.0001256439513240196,0.0013323588436477,0.00024742048496973694,0.0017054232799413999
15,13.041950643528253,0.0002782240931727,0.00012563090801083856,0.0005606646151932,0.00015497738354089153,0.0008412729067449
16,24.75158495269716,0.0007149370209206,0.00014448558119463178,0.0017332147199125999,0.0002840720273437087,0.0021617723284511
