step,duration_s,emissions_kg,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
0,6.152144382242113,0.0001623592703821,4.353615756962436e-05,0.0003672200160167,8.017347155578642e-05,0.0004909296451421
1,8.357525285799056,0.0002165667702408962,5.650006675379614e-05,0.0004953023406670221,0.00010303576359163142,0.0006548381710124348
2,8.717610927298665,0.00023155324086027992,5.14387973137568e-05,0.0005578060017938274,9.09083248840438e-05,0.0007001531239916055
3,9.194124035071582,0.0002461335354787532,6.172220855049655e-05,0.0005727532359713082,0.00010976446827019877,0.0007442399127919879
4,9.759941404219717,0.0002517186627743514,5.673132246576295e-05,0.0006029927046284468,0.0001014037699244606,0.0007611277970187016
5,17.45797000778839,0.0004844997314966,0.00010097335505395105,0.0011623095409304001,0.00020171063777134267,0.0014649935337558
6,39.3984611146152,0.0011394131391763,0.0002249689459428,0.0028180030877393,0.0004022989802217,0.0034452710139039
