task,agent,emissions_kg,duration_s,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,energy_kwh
CIFAR-10,Llama 3.1 8B,0.006628678794750443,262.45252030249685,0.002262138054519933,0.014578177218095548,0.0032029808127217356,0.020043296085336965
CIFAR-10,Qwen2.5 7B,0.019542228998442036,866.0740853832103,0.004983160493728613,0.04466891101286668,0.009438238057570818,0.05909030956416791
CLRS,Llama 3.1 8B,0.005603184907114101,214.0974389896728,0.0018760973885181497,0.01227369037442568,0.002792697699336956,0.016942485462280856
CLRS,Qwen2.5 7B,0.0019503679025957119,74.15267289616168,0.0004853310323363034,0.004424334095026573,0.0009877093808156336,0.005897374508178487
IMDB,Llama 3.1 8B,0.00441128242235603,193.11626807926223,0.0018151121296326354,0.008753499502771352,0.0027698895146617566,0.013338501147065853
IMDB,Qwen2.5 7B,0.021791781018793442,803.4721445329487,0.004913086110275834,0.052109910299004934,0.008869337902107933,0.06589233431139105
Vectorization,Llama 3.1 8B,0.007745380161711375,301.5652139931917,0.0024355134034541796,0.01724850018764541,0.0037358793742397834,0.023419892965339858
Vectorization,Qwen2.5 7B,0.03390712118920655,1199.5953795602545,0.008807667473992262,0.08110844488664772,0.0129836598315596,0.1028997721922029
amp,Llama 3.1 8B,0.0006192948466116402,22.82096476526931,0.00022314704810189756,0.0013147707740440002,0.00033465895508286647,0.0018725767772288001
amp,Qwen2.5 7B,0.005154390083821435,197.17054615309462,0.0018393414390986866,0.010940585696954854,0.0028055265853078005,0.015585453721361438
babylm,Llama 3.1 8B,0.005499937554717705,232.29408882604912,0.002056876336433368,0.011456479442988561,0.0031169381710674394,0.01663029395048927
babylm,Qwen2.5 7B,0.004065135977726141,203.53484659129754,0.0012811210619719199,0.008557214345733102,0.0024535143788967785,0.012291849786601883
fathomnet,Llama 3.1 8B,0.00021508085066461073,8.425605214200914,6.186503054668778e-05,0.0004738864902193,0.00011459363935411805,0.0006503451601201
fathomnet,Qwen2.5 7B,0.013162178882543986,476.98900487832725,0.0027708655625909083,0.03151532910114379,0.005512603353137995,0.03979879801687349
feedback,Llama 3.1 8B,0.0025586018889157663,101.03089498821646,0.0007780222390135145,0.0060350323280495425,0.0011867180971233636,0.007999772664186645
feedback,Qwen2.5 7B,0.008033952322511227,294.60512620257214,0.0018621880541870516,0.01856894263287184,0.0038613248869064157,0.024292455573966344
house,Llama 3.1 8B,0.008477694849565261,323.3703582822345,0.002671339829681969,0.01902811161141607,0.003934759123687884,0.02563421056478673
house,Qwen2.5 7B,0.008961236446269616,328.1790850078687,0.0020888693230147358,0.020747631598088102,0.004259806042140829,0.027096306963243832
identify,Llama 3.1 8B,0.005979531456983963,232.06690576905385,0.002002084132293905,0.013095660198748301,0.00298270927893591,0.018080453609978252
identify,Qwen2.5 7B,0.005626658235536573,220.69163131481037,0.0013586416971902437,0.013085069912467898,0.0025697507224070304,0.017013462332065802
ogbn,Llama 3.1 8B,0.006510146654219344,258.90840001171455,0.0022502496714751972,0.014114517958316601,0.0033201199609021975,0.01968488759069395
ogbn,Qwen2.5 7B,0.01663943749932837,605.4975053160451,0.0036393460665979367,0.03983151519857481,0.006842207570900846,0.050313068836075385
spaceship,Llama 3.1 8B,0.0016437014194593882,65.13795830728486,0.0006394367085102507,0.003390728268192827,0.0009399346836092364,0.004970099660312246
spaceship,Qwen2.5 7B,0.0073716588598637025,270.54679925739765,0.0021472120217677945,0.016978375249293316,0.0031642755723993517,0.022289862843461218
